"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recglCw9VfiwASfdH', 'recvtWwY2H5Y1TmES']","",""
"The Chattering Wagtails of Mikuyu Prison (1993)","The Chattering Wagtails of Mikuyu Prison","Single Author|Selected Works","1993","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recQh8CXqNu7zhOVJ']","",""
"A Shuttle in the Crypt (1987)","A Shuttle in the Crypt","Single Author|Selected Works","1987","['recpLUfamQkTp1CRI']","['recRPTnrNPU6ArRJv']","","",""," - ","","['reclk3tn2e03PBtVI']","","['recnIo7iOFEae2WAk']"
"The Last Division (1959)","The Last Division","Single Author|Selected Works","1959","['recadniZrGSrxejUc']","['recR6YHhrfthZo5tS']","","",""," - ","","['recGN6RWju21qiG0O']","",""
"Chinua Achebe: Collected Poems (2004)","Chinua Achebe: Collected Poems","Single Author|Collected Works","2004","['recwDkHLWRdHqzm25']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recB9tsaTLUc1J0UC']","",""
"A Handle for The Flutist and Other Poems (1986)","A Handle for The Flutist and Other Poems","Single Author|Selected Works","1986","['rectpqHcFZwjuBqp7']","['recXITrh18deFhaPB']","","",""," - ","","['recnMm7IuZxBIrNnh']","",""
"Bateleur Poets; First Poems (1979)","Bateleur Poets; First Poems","Single Author|Selected Works","1979","['recoZXHGIaNz8qxDQ']","['recByKWBNYTnFNrCp']","","",""," - ","","['recaCn2nnmlAEAhfp']","",""
"The Centenary Book of South African Verse, 1820-1925 (1925)","The Centenary Book of South African Verse, 1820-1925","Anthology","1925","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rectXVrcWKwuQida4']","","['recy4uGDhyvOp4GmY']"
"Rediscovery and Other Poems (1964)","Rediscovery and Other Poems","Single Author|Selected Works","1964","['recsbhF8jfAiLQIpI']","['recesdnoCDNCstSIs']","","",""," - ","","['recPt6cxewyfgSLTa']","","['recxCd4FPWaFgsrAV']"
"The Fate of Vultures: New Poetry of Africa (1989)","The Fate of Vultures: New Poetry of Africa","Anthology","1989","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recbSqHHlg6nZCeUd']","","['recVCcr2e6uwbU29h']"
"Drypoints of the Hasidim (1975)","Drypoints of the Hasidim","Single Author|Selected Works","1975","['recNd9qPVf6pEuciL']","['recR6YHhrfthZo5tS']","","",""," - ","","['recvcLO9HfMU1NF9e']","",""
"The Day Natal Took Off: A Satire (1963)","The Day Natal Took Off: A Satire","Single Author|Full Length","1963","['recgJpAf6uDWFQwKd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recJZrNZPOPRIuNuY', 'rec2lbBLgqdiTPCrE', 'recG3CBUVkbTOIrhB', 'recHAc07kgJTrAHem', 'receyuaFXjb27lCMi', 'rec6wSkSgVTJcE59E', 'recU69kPz8w8fsZQv', 'recbl4AKfLko4yxNX', 'rec6BImx3rV2kvLRF']","","['recENYPFi07koxKf6']"
"Soho Square V (1992)","Soho Square V","Anthology","1992","['recaqXAJXU7A7D25U']","","","",""," - ","","['recm41htnBIIBhLCY', 'recVbRZhuIAXyGKJp']","","['recfpSJ65dLBFBPeQ']"
"Song of Lawino and Song of Ocol (1984)","Song of Lawino and Song of Ocol","Single Author|Selected Works","1984","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['reckoyzEZzg3VJgp5']","",""
"Poems (1964)","Poems","Single Author|Selected Works","1964","['recsbhF8jfAiLQIpI']","['recesdnoCDNCstSIs']","","",""," - ","","['recXGt8KO9mlD2XAX']","",""
"Hart sonder hawe (Heart without harbour) (1949)","Hart sonder hawe (Heart without harbour)","Single Author|Selected Works","1949","['recn4ipWs8tbw6Lo6']","['recByKWBNYTnFNrCp']","","",""," - ","","['recyymnxhBF2W9cnN']","",""
"Songs from Books (1912)","Songs from Books","Single Author|Selected Works","1912","['recv6M0cEpbUkOb0O']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recwwQXO2Z1RO6Dov']","",""
"African Items: A Volume of Verse (1903)","African Items: A Volume of Verse","Single Author|Selected Works","1903","['recG3gMDr1e6fvPJn']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec57BcORpnOpXEwA']","",""
"Taste and Remember (1966)","Taste and Remember","Single Author|Selected Works","1966","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recarmQ8bkfbhDM9J']","",""
"The Polygamist (1972)","The Polygamist","Single Author|Full Length","1972","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","['recDbSec7oMW6GggC']","","['rec3pN3zdI6oP8jZg']"
"Hopes and Impediments: Selected Essays (1988)","Hopes and Impediments: Selected Essays","Single Author|Full Length","1988","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recg8U8400YlCtIkn', 'recJXAXNhBVb9Q4e5', 'rec3nv0tNzPVOPKhB']","","['recTYUbWJ3zqL1sQA']"
"Antsa (1956)","Antsa","Single Author|Selected Works","1956","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recnPSNoZ3FmnEUW6']","",""
"Vieilles chansons des pays d'Imerina (1939)","Vieilles chansons des pays d'Imerina","Single Author|Selected Works","1939","['recypkGtlqisvggQ4']","","","",""," - ","","['rec2dh5dA7Gb4ErIe']","","['recZnXd6TWill5IO2']"
"Uit drie wêrelddele (1926)","Uit drie wêrelddele","Single Author|Selected Works","1926","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['recBW4yojQOwktup9']","",""
"Vieilles chansons des pays d'Imerina (1967)","Vieilles chansons des pays d'Imerina","Single Author|Selected Works","1967","['recypkGtlqisvggQ4']","","","",""," - ","","['recYxyBYkzctGEPGz']","",""
"L’Arc musical (1969)","L’Arc musical","Single Author|Selected Works","1969","['recuF6T18LqU09cKX']","","","",""," - ","","['recAwtzXauMKAXTpk']","",""
"Otters in Bronslaai (Otters in Watercress Salad) (1981)","Otters in Bronslaai (Otters in Watercress Salad)","Single Author|Selected Works","1981","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['reczBmdy9xeSck8K9']","",""
"Kleur kom nooit alleen nie (Colour never comes alone) (2000)","Kleur kom nooit alleen nie (Colour never comes alone)","Single Author|Selected Works","2000","['recmD6Xi4RgqEAYyN']","['recByKWBNYTnFNrCp']","","",""," - ","","['recYq2HEHteuTjgWP']","",""
"Visiting the Caves (1936)","Visiting the Caves","Single Author|Selected Works","1936","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec2TX65Ho3fMarsy']","",""
"The Ordeal of the African Writer (2001)","The Ordeal of the African Writer","Single Author|Full Length","2001","['recUZsNsACFyWNFST']","['recR6YHhrfthZo5tS']","","",""," - ","","['recsiPmLuNYYH6ZsQ', 'rec5cVp5A3VLygm6X', 'rec0K5JOsiyOniyi3', 'recfEYYPSZaOu5SOB', 'recfwKe2b691hIEB3']","",""
"Whispers in the Wings: New and Selected Poems (2001)","Whispers in the Wings: New and Selected Poems","Single Author|Selected Works","2001","['recWxCGHEh7RJ5ftj']","","","",""," - ","","['recGV2vuo1DQ4ZrNa']","",""
"The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis (1997)","The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis","Single Author|Full Length","1997","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recfCzqYMONe8Qz7J']","","['recVxpSLc9wcUETRK']"
"Kruis of Munt (Head or tail) (1973)","Kruis of Munt (Head or tail)","Single Author|Selected Works","1973","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recrdE7OQpNXDCfEi']","",""
"The Happiness Bird (1978)","The Happiness Bird","Single Author|Selected Works","1978","['recnBQfNU9yC4R7Dz']","","","",""," - ","","['recVqujjqVSVtHUn4']","",""
"The Dorking Thigh and Other Satires (1945)","The Dorking Thigh and Other Satires","Single Author|Selected Works","1945","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recUMMihaCkMH8iBE']","",""
"Letter to Martha and Other Poems from a South African Prison (1968)","Letter to Martha and Other Poems from a South African Prison","Single Author|Selected Works","1968","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recApfTSyGhfqkjBy']","",""
"Germanicus (1956)","Germanicus","Single Author|Selected Works","1956","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recR6HJPWeJnGDEBm']","",""
"Poems 1964 -1990 (1991)","Poems 1964 -1990","Single Author|Collected Works","1991","['recgzwAW9Jxrjo7Cu']","","","",""," - ","","['reckUR6GsZgqZOQtj']","",""
"Poems (1938)","Poems","Single Author|Selected Works","1938","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recuargOgw0haNDyr']","",""
"Idylls by Two Oceans (1910)","Idylls by Two Oceans","Single Author|Selected Works","1910","['recxIbIhhVMS94M8y']","['recByKWBNYTnFNrCp']","","",""," - ","","['recOnG8YDbwVVGxAp']","",""
"Flying (1970)","Flying","Single Author|Selected Works","1970","['recQR2VEtqtP5qDlF']","","","",""," - ","","['recNsoDeoWYX1U84V']","True","['recD2uBEoZcCsarMX']"
"The Interpreters (1964)","The Interpreters","Single Author|Full Length","1964","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recHs9t5aj52eQD8p', 'recpUxXBmUOGbulgo', 'recTLNjowTnscEHIr', 'rece2ezWVnqohafJa', 'recSzJhbxredHukSv', 'recIVbopJJITYb1Js', 'recGO7lKdCu26pIej', 'rec2tovbVl1IBt0QE', 'recrHy04w0kyhQbqj']","","['recENYPFi07koxKf6']"
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec9p81rqHwv6QaFE', 'reclCpzONBlPOLvtz']","",""
"Kites and Other Poems (1992)","Kites and Other Poems","Single Author|Selected Works","1992","['rec0AXobCaUyqEPsH']","['recByKWBNYTnFNrCp']","","",""," - ","","['recLeaHCrE7rOr3Qu']","",""
"Godhorse (1989)","Godhorse","Single Author|Selected Works","1989","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['rec6JJWixSKw87a4L']","","['recVCcr2e6uwbU29h']"
"Thought and Technique in the Poetry of Okot p'Bitek (1984)","Thought and Technique in the Poetry of Okot p'Bitek","Single Author|Full Length","1984","['recSf0JkoD43dv2Yl']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recMcQtlnsziuG2x8']","",""
"Esanzo: Chants pour mon pays (Esanzo: Songs for my Country) (1956)","Esanzo: Chants pour mon pays (Esanzo: Songs for my Country)","Single Author|Selected Works","1956","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec7gZ0liCxjPmxhZ']","",""
"Beware, Soul-Brother, and Other Poems (1972)","Beware, Soul-Brother, and Other Poems","Single Author|Selected Works","1972","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recgWcu0apL497Cpk']","",""
"Unbecoming Daughters of the Empire (1993)","Unbecoming Daughters of the Empire","Anthology","1993","['recQAaIMGqzk44R9B']","","","",""," - ","","['reciLtBQEeJNoVd1U', 'recljPLlVR4UslV7I']","","['recQmRptXoG3q9IPo']"
"Silverleaf and Oak: Poems (1906)","Silverleaf and Oak: Poems","Single Author|Selected Works","1906","['reccm0WBNcKMuAjgt']","","","",""," - ","","['recRxDlm0xlPJYII8']","",""
"Les ordalies, sonnets d'outre-temps (1972)","Les ordalies, sonnets d'outre-temps","Single Author|Selected Works","1972","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recVFGKuWs41sdYp1']","",""
"Komas uit 'n bamboesstok (1979)","Komas uit 'n bamboesstok","Single Author|Selected Works","1979","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recS8A3qTZlx7tw3p']","",""
"A Sough o' War (1917)","A Sough o' War","Poem","1917","","","","",""," - ","","['recm8VApNB2DqSF4g', 'reciJ4jm3d02A9ZE7']","",""
"Derrière le vernis du soleil, poèmes 1964–1989 (1993)","Derrière le vernis du soleil, poèmes 1964–1989","Single Author|Collected Works","1993","['recnVSPhm29F7aWnu']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec7mdvn6iHvJv8C9']","",""
"Vonke (1943)","Vonke","Single Author|Selected Works","1943","","","","",""," - ","","['rectt0SM6ESyoxQKt']","",""
"Gabriel Okara: Collected Poems (2016)","Gabriel Okara: Collected Poems","Single Author|Collected Works","2016","['recnpSNBj341YTM8B']","['recmbNYmPdON48MAQ']","","",""," - ","","['recVhPN9myeC6KzQJ']","",""
"A Rosary of Bone (1975)","A Rosary of Bone","Single Author|Selected Works","1975","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recGvJCx9KnTREQe3']","",""
"Les voix dans le vent (1970)","Les voix dans le vent","Single Author|Selected Works","1970","['recK42iMyYjMkZZvy']","","","",""," - ","","['recmF7arl4KmkmK5F']","",""
"Dark Folk and Other Poems (1935)","Dark Folk and Other Poems","Single Author|Selected Works","1935","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['reciVilErPdohuXHX']","",""
"Poèmes (Presque-songes, Traduit de la nuit) (1960)","Poèmes (Presque-songes, Traduit de la nuit)","Single Author|Selected Works","1960","['receDKWxCis7S6KSs']","['recEQ5xxm0QUQCzsd']","","",""," - ","","['rec3S4vTCEds4tpzo']","",""
"Die Republiek van duisend jaar (1957)","Die Republiek van duisend jaar","Single Author|Selected Works","1957","['recwouBgbHqWyh17o']","['recFjYFloIc1MhnAb']","","",""," - ","","['recqMHeJ6Me9u4Ark']","",""
"The Swarming Streets: Twentieth Century Literary Representations of London (2004)","The Swarming Streets: Twentieth Century Literary Representations of London","Anthology","2004","['recYx0ifyJnr9Qetr']","","","",""," - ","","","",""
"Selected Poems (1984)","Selected Poems","Single Author|Selected Works","1984","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['receFx9Ay0VpbPVCN']","",""
"Winged Quagga, with Reassembling World (1981)","Winged Quagga, with Reassembling World","Single Author|Selected Works","1981","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recfGO97ezvfAsfvu']","",""
"Selected Poems, 1961-1994 (1994)","Selected Poems, 1961-1994","Single Author|Collected Works","1994","['recR39NoWWMuOJoDO']","['recdmzHJTksmBYBa6']","","",""," - ","","['recAehniDn4S8gnYM']","",""
"Steenbok tot poolsee (1956)","Steenbok tot poolsee","Single Author|Selected Works","1956","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['recDgiWLk3zsMPGh3']","",""
"The Last of the Sweet Bananas: New and Selected Poems (2004)","The Last of the Sweet Bananas: New and Selected Poems","Single Author|Selected Works","2004","['recYQDXRa2WsSnoTL']","","","",""," - ","","['rectYTFuS4sztfusv']","",""
"African Theatre Today (1976)","African Theatre Today","Single Author|Full Length","1976","['rec8nTmTxQPGEEQ5O']","","","",""," - ","","['recfxdzCsUG8QAFVa']","","['rec89wygvAuOFRpC6']"
"Carrying Knowledge Up a Palm Tree (1997)","Carrying Knowledge Up a Palm Tree","Single Author|Full Length","1997","['reccgFsYvJjLhkRPL']","","","",""," - ","","['recjN1oG9CeJlx0Ns']","",""
"The Autobiography of William Plomer (1975)","The Autobiography of William Plomer","Single Author|Full Length","1975","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recb8yCYrdfyzvR4I']","",""
"William Plomer: Collected Poems (1973)","William Plomer: Collected Poems","Single Author|Collected Works","1973","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recUUdxD4iuZrqV6v']","","['rec5m9rhBwFhP1GpI']"
"The Marriage of Anansewa: A Storytelling Drama (1975)","The Marriage of Anansewa: A Storytelling Drama","Single Author|Full Length","1975","['recpnKAl8DyDg6Njk']","","","",""," - ","","['recaEC6H18ftWe4uI']","","['recPYudkZMt7z98iw']"
"The Example of Shakespeare (1970)","The Example of Shakespeare","Single Author|Full Length","1970","['recxlgTKKosoBHEe2']","['rec4AZeZTZivVxhdd']","","",""," - ","","['reczAcgNdYLBTMfyg']","","['recNtKYDmekIRLoHV']"
"African Poems of Thomas Pringle (1989)","African Poems of Thomas Pringle","Single Author|Collected Works","1989","['recdLHmxGYcEuiwdk']","['reckyxi4BnnhhZ5nF']","","",""," - ","","['recLBS7YMdpg4QTsM']","","['recoSR2VDP7ak9VXK']"
"Song of Prisoner, Song of Malaya (1971)","Song of Prisoner, Song of Malaya","Single Author|Selected Works","1971","['reckUQFcwM824zPBh']","['recu3MoBp4ft8I96h']","","",""," - ","","['recRNbz1BuPZEaZmM', 'recLg6g6ZL140jSRQ']","","['recQs4poWTR13TRGC']"
"One Life (1966)","One Life","Single Author|Selected Works","1966","['recvCSyQ7K0v2z2rG']","['recR6YHhrfthZo5tS']","","",""," - ","","['recwHnQacwqlHKz1w']","",""
"The Two of Them Together (1910)","The Two of Them Together","Single Author|Selected Works","1910","['recshLJXpKWXHRuDq']","['recR6YHhrfthZo5tS']","","",""," - ","","['recL3xO9duc3mu5h1']","",""
"Vooraand (The evening before) (1964)","Vooraand (The evening before)","Single Author|Selected Works","1964","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['recZ3yXZTbVPN70kM']","",""
"Commandant Taureault et ses nègres (1980)","Commandant Taureault et ses nègres","Single Author|Selected Works","1980","['recrtrv6ZfFIH5cUt']","","","",""," - ","","['recWTEYstq17arakw']","",""
"Light on a Dark Horse (1952)","Light on a Dark Horse","Single Author|Full Length","1952","","","","","","","","['recarC1qm2GId5im9']","True","['recVAlun2B6XHukAX', 'recx23187A5uaWUpm']"
"The Flying Terrapin (1924)","The Flying Terrapin","Single Author|Full Length","1924","","","","","","","","['recarC1qm2GId5im9']","True","['recVAlun2B6XHukAX']"
"The Ariel Poems (Pamphlets) ()","The Ariel Poems (Pamphlets)","Single Author|Collected Works","","['recEzJUESbrePx4Kd']","","","","","","","","","['recruM0cz6o45NRuX']"
"Taurine Provence: Philosophy, Religion, and Technique of the Bullfighter (1932)","Taurine Provence: Philosophy, Religion, and Technique of the Bullfighter","Single Author|Full Length","1932","","","","","","","","['recLpgh4mC6E4nnsj']","True","['recfBPXTyuEYGWYbA']"
"Mithraic Emblems (1936)","Mithraic Emblems","Single Author|Full Length","1936","","","","","","","","","True","['rec9Lw8gUwCCpank5', 'recaTKEF8ZN2EqGcu']"
"The Poems of St. John the Cross. Spanish Text with a Translation by Roy Campbell. Preface by M.C. D'Arcy, S.J. (1959)","The Poems of St. John the Cross. Spanish Text with a Translation by Roy Campbell. Preface by M.C. D'Arcy, S.J.","Single Author|Full Length","1959","['recyDhpuM2mBUALGY']","","","","","","","","True","['recEOtsqOnhhSe4fJ']"
"New Poems 1952. A P.E.N. anthology. 1952 / edited by Clifford Dyment, Roy Fuller & Montagu Slater  (1952)","New Poems 1952. A P.E.N. anthology. 1952 / edited by Clifford Dyment, Roy Fuller & Montagu Slater ","Anthology","1952","['recLGOQ4MjA22I85H']","","","","","","","","True","['recDxlwfsiQeOR1K2']"
"The Penguin Book of Modern Verse Translation (1966)","The Penguin Book of Modern Verse Translation","Single Author|Collected Works","1966","['reckanGgoZFeNEAni']","","","","","","","['recI0ZEbsUw6jczps']","True","['recqriMZwCBrAdjTl']"
"Thomas Love Peacock (1973)","Thomas Love Peacock","Single Author|Full Length","1973","['rec723anZjT5GZMIT']","","","","","","","['recpG1tyqaHUHI3Bk']","True","['recQnqoBQVnXqeHca']"
"The Oxford Book of Twentieth Century English Verse (1973)","The Oxford Book of Twentieth Century English Verse","Anthology","1973","['reckBi9snfx9vvo8R']","['recTAlcF5bAeJO9oo']","","","","","","['recXCeX4rtbNqCbMa']","True","['rec1Kf8srqjEH1oAD', 'rec2b0DnihcNKvwSR']"
"The Roaring Queen  (1973)","The Roaring Queen ","Single Author|Full Length","1973","['rechKOaeJGYMWpKQO']","","","","","","","['recB4IwQJILneDFJb']","True","['recihKjMoC5xSl52O']"
"Portrait of a Marriage: Vita Sackville-West and Harold Nicolson (1973)","Portrait of a Marriage: Vita Sackville-West and Harold Nicolson","Single Author|Full Length","1973","['recG1rA73QjWKeuZF']","","","","","","","['recRj4cprjKaJ8o0x']","True","['recbOMh1GMuR0RoZP']"
"Jonah (1973)","Jonah","Single Author|Full Length","1973","['recSL9OOvDH6PQ7vV']","['rechox6aq8lnZHEIe']","","","","","","['recsmLAT6VMHQB38i']","True","['rec5m9rhBwFhP1GpI']"
" ()","","","","","","","","","","","","",""
"The collected poems of Roy Campbell  (1957)","The collected poems of Roy Campbell ","Single Author|Collected Works","1957","['recII2YATHrLZwC1z']","['recDF8hLx8yVLng52']","","","","","","['recLpgh4mC6E4nnsj']","True","['recoBBs4k0qBZB78L']"
"The Vanished World: An Autobiography, Volume One (1969)","The Vanished World: An Autobiography, Volume One","Single Author|Full Length","1969","['recS9X0I8vU6MqlFi']","['recBV5tJBwPjrVSA0']","","","","","","['recDQasGrUK0d8rsB']","True","['recqVquBGANErEvdN']"
"As I Walked Out One Midsummer Morning (1979)","As I Walked Out One Midsummer Morning","Single Author|Full Length","1979","['reckanGgoZFeNEAni']","","","","","","","['recHecYiPDjrq54rB', 'recZDvxj2sUZOcMMA']","True","['recqVquBGANErEvdN']"
"The Modern Poets: A Critical Introduction (1960)","The Modern Poets: A Critical Introduction","Single Author|Selected Works","1960","['reckBi9snfx9vvo8R']","","","","","","","['rec4VYpqEdyG1igXu']","True","['recr7ZCnkKEuoATVG']"
"Post-Victorian Poetry (1938)","Post-Victorian Poetry","Anthology","1938","['recw9Gm7gmSwMdnCY']","","","","","","","['recp1w6ahZZerpGu0']","True","['recgxZTFTqPqMfUaN']"
"C. Day-Lewis: An English Literary Life (1980)","C. Day-Lewis: An English Literary Life","Single Author|Full Length","1980","['recG1rA73QjWKeuZF']","","","","","","","['recgBE5B1abCQBB59']","True","['receoUbTfwVBiMmD5']"
"The Oxford Book of Satirical Verse (1980)","The Oxford Book of Satirical Verse","Anthology","1980","['reckBi9snfx9vvo8R']","","","","","","","['recHNjvzhUbJyCOyu']","True","['rectg82EaW7Lib0G1']"
"Literary lifelines, the Richard Aldington-Lawrence Durrell Correspondence (1981)","Literary lifelines, the Richard Aldington-Lawrence Durrell Correspondence","Single Author|Full Length","1981","['recBG3JIgQVOHaFvb']","","","","","","","['recgEDH2NiKCRmLyI', 'recXQMnzCMak8dLVy']","True","['recAZlk0UuEsq4lKY']"
"African Art & Literature: The Invisible Present (1977)","African Art & Literature: The Invisible Present","Single Author|Full Length","1977","['recxs7nr1XEK0p7Jk']","['recTAlcF5bAeJO9oo']","","","","","","['recnGZlb6DNes5z9I']","True","['recZ9utW1f9nAf6WT']"
"Roy Campbell: A Critical Biography (1982)","Roy Campbell: A Critical Biography","Single Author|Full Length","1982","['reckBi9snfx9vvo8R']","['recTAlcF5bAeJO9oo']","","","","","","['recgY1VvtIPz2sL8E']","True","['recY9yY2KgyDvRmZq']"
"First Awakenings The Early Poems (1992)","First Awakenings The Early Poems","Single Author|Collected Works","1992","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","","","","","['reco3iIbQDmniwsps', 'recRHdkpM27ZWdFJW', 'recvnhB8tfHpF5Jrn', 'receSbgkfK1ZpFeVl']","True","['recX4m6FJo1XDCeAr']"
"Hand in Glove (1992)","Hand in Glove","Single Author|Full Length","1992","['rec8G1Nq4vzaN4CZ0']","['recR6YHhrfthZo5tS']","","","","","","['rechYy1Gz4nx1Kmxt']","True","['recRCdUSDI2gaHLpz']"
"Cider with Rosie (1959)","Cider with Rosie","Single Author|Full Length","1959","['rec3BNQcXKfIGMA7t']","['rechox6aq8lnZHEIe']","","","","","","['recHecYiPDjrq54rB']","True","['recCSMwNxvCbnyZes']"
"Collected Poems by Louis MacNeice (2002)","Collected Poems by Louis MacNeice","Single Author|Full Length","2002","['recEzJUESbrePx4Kd']","['rechox6aq8lnZHEIe']","","","","","","['reccrJ19aSD2kGdRY']","True","['recnnVn70YK6q0lEg']"
"The New Writing in the USA (1967)","The New Writing in the USA","Anthology","1967","['reckanGgoZFeNEAni']","['recTAlcF5bAeJO9oo']","","","","","","['recunFJmby91UhV4Y', 'recjbTxJ663eokD0G']","True","['rec4FUjwSPskfwn2o']"
"German Writing Today  (1967)","German Writing Today ","Anthology","1967","['reckanGgoZFeNEAni']","['rechox6aq8lnZHEIe']","","","","","","['reclxv1GvjGITa6n1']","True","['rec4FUjwSPskfwn2o']"
"Italian Writing Today (1967)","Italian Writing Today","Anthology","1967","['reckanGgoZFeNEAni']","['recR6YHhrfthZo5tS']","","","","","","['recHVoSkmgEZFUyZH']","True","['rec4FUjwSPskfwn2o']"
" ()","","","","","","","","","","","","",""
"Sonnets and Verse (1924)","Sonnets and Verse","Single Author|Full Length","1924","['recA8oiRYTJw2ts5s']","","","","","","","['reca0RTi4VXYHbcwI']","True","['recUcMaWkBLFauZSf']"
"Letters To Malaya III and IV  (1944)","Letters To Malaya III and IV ","Single Author|Collected Works","1944","['recQWjo5pWPkXUVc6']","","","","","","","['recl1HMKXnZNnTONl']","True","['rec8MMCha1iVdrmXC']"
"English Sonnets (1947)","English Sonnets","Anthology","1947","['recJ8sAV5dNOppLTN']","","","","","","","['recV7lJ10aCpp6wAh']","True","['recagmVEhJFV288bn']"
"The Writer and Commitment (1961)","The Writer and Commitment","Single Author|Full Length","1961","['recSL9OOvDH6PQ7vV']","['recTAlcF5bAeJO9oo']","","","","","","['recvxQBmLaizI4oWP']","True","['reclfN3SysRq83Ekv']"
"Guide Littéraire De La France (1964)","Guide Littéraire De La France","Anthology","1964","['recqGoFNuVrUCZAju']","['reca7XEBU6LDwc5vG']","","","","","","","True","['recxquzUPDP6uLoYR']"
"Print Of A Hare's Foot (1967)","Print Of A Hare's Foot","Single Author|Full Length","1967","['recxs7nr1XEK0p7Jk']","","","","","","","['recAKD68tEkYCYnlC']","True","['rec1fwuJ7Ae1EUckc']"
"Footnote To The Nineties (1968)","Footnote To The Nineties","Single Author|Full Length","1968","['recPlrAZ1WQEUlvjH']","['rechox6aq8lnZHEIe']","","","","","","['reczDwYw8V3cGHOIf']","True","['rec1fwuJ7Ae1EUckc']"
"The Memoirs of an Erotic Bookseller Vol. 1 (1969)","The Memoirs of an Erotic Bookseller Vol. 1","Single Author|Full Length","1969","['recv71FvIiSybGJOr']","","","","","","","['recz3WtzrZOtil8PF']","True","['rec1fwuJ7Ae1EUckc']"
"Dylan Thomas: Poet Of His People (1975)","Dylan Thomas: Poet Of His People","Single Author|Full Length","1975","['recDv47bsFX8IqJbf']","","","","","","","['rec1h67iaJmNvSpsA']","True","['reccrijutfJXD23Ha']"
