Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
News in Brief: Nigerian writer loses passport (1971-03-22),apdp.cite.000139,News in Brief: Nigerian writer loses passport,News Report,Newspaper,1971-03-22,The Times,p. 5,http://link.galegroup.com/apps/doc/CS86078582/GDCS?u=linc74325&sid=GDCS&xid=143cfb63,GALE|CS86078582,2019-06-29,The Times Digital Archive,"The passport of Mr. Wole Soyinka, the Nigerian playwright, was impounded by security officials at Ikeja airport yesterday, The Sunday Times reported today. Mr. Soyinka, who is head of the school of drama at Ibadan University, was going to Paris to take part in the play Murderous Angels by Dr. Cruise O'Brien, the former head of the United Nations mission in the Congo.",© Times Newspapers Limited.
Winning struggle to reestablish African culture alongside the economic revolution (1972-10-09),apdp.cite.000140,Winning struggle to reestablish African culture alongside the economic revolution,Critical Article,Newspaper,1972-10-09,The Times,p. VIII,"http://link.galegroup.com/apps/doc/CS537098057/GDCS?
u=linc74325&sid=GDCS&xid=b31cd74d",GALE|CS537098057,2019-06-29,The Times Digital Archive,"""Although economic considerations now outweigh most others in the minds of most African people and their leaders in their quest for national images, there is in Nigeria, as in many other African countries, a growing cultural awareness in the face of the political turmoil that plagues most of the continent....Haunted by the knowledge that these ancient kingdoms [of Africa] had well-developed cultural and political organizations of their own, today's African countries are at the crossroads...The dilemma of most African countries is to find that way forward which involves a marriage between economics, culture and politics...""",© Times Newspapers Limited.
Playwright's denial on Biafra (1967-11-09),apdp.cite.000141,Playwright's denial on Biafra,News Report,Newspaper,1967-11-09,The Times,p. 5,http://link.galegroup.com/apps/doc/CS85421417/GDCS?u=linc74325&sid= GDCS&xid=46ae9c42,GALE|CS85421417,2019-06-29,The Times Digital Archive,"Nigeria's leading playwright, Wole Soyinka, aged 33, has smuggled a letter out of his prison cell here, denying emphatically that he confessed to aiding the secessionist regime of the former Eastern Region. In a 202-word note written on a small piece of paper, Mr. Soyinka, who has been in custody since August 17, accused the Government of seeking to discredt him and his efforts to bring about a cease-fire in the civil war. Chief Anthony Enahoro, Federal Commissioner for Information, told journalists here on October 28 that Mr. Soyinka had admitted agreeing to spy for the Biafrans, to help them buy arms and to work ""for the overthrow of the Federal Government."" The commissioner said the playwright  confessed to meeting Biafran leaders in their acpital at Enugu on August 6, and in the Mid-West capital of Benin three days later when it was seized by rebel forces under the command of Lieutenant Colonel Victor Banjo....",© Times Newspapers Limited.
Rumbustious Start to Festival (1965-09-15),apdp.cite.000142,Rumbustious Start to Festival,News Report,Newspaper,1965-09-15,The Times,p. 14,"http://link.galegroup.
com/apps/doc/CS236153135/GDCS?u=linc74325&sid=GDCS&xid=e8879b66",GALE|CS236153135,2019-06-29,The Times Digital Archive,"The drama side of the Commonwealth Arts Festival certainly gets off to a rumbustious start with this play by the young Nigerian writer, Wole Soyinka. Rambling and discursive though it is, it exercises a weird fascination. Set in a tumbledown drivers' haven in Nigerian, it shows the dominance of the road over the inhabitants. It can either provide them with a precarious livelihood or confront them with gruesome death... Mr. Soyinka shows that he has a gift for naturalistic dialogue, flecked with bright imagery, and a sharp eye for character...",© Times Newspapers Limited.
Joan Littlewood's theatre plan (1967-05-17),apdp.cite.000143,Joan Littlewood's theatre plan,News Report,Newspaper,1967-05-17,The Times,p. 12,"http://link.galegroup.
com/apps/doc/CS202861681/GDCS?u=linc74325&sid=GDCS&xid=031d7eed",GALE|CS202861681,2019-06-29,"""The Times Literary Supplement Historical Archive,""","Joan Littlewood was back on home ground this week at the Theatre Royal, Stratford, E. She is rehearsing there for the new Theatre Workshop season which opens on April 8 with the American political parody, Macbird, by Barbara Garson. Future productions will include Mrs. Wilson's Diary, by Richard Ingrams and John Wells, an adaptation of Brendan Behan's Borstal Boy, and new plays by Stephen Lewis, Wole Soyinka, and Peter Shaffer.",© Times Newspapers Limited.
Lively Nottingham programme: Opening Postponed (1966-12-02),apdp.cite.000144,Lively Nottingham programme: Opening Postponed,Event Announcement,Newspaper,1966-12-02,The Times,p. 20,http://link.galegroup.com/apps/doc/CS337210242/GDCS?u=linc74325&sid=GDCS&xid=12edf8ea,GALE|CS337210242,2019-06-29,The Times Digital Archive,"Owing to the illness of the director, the opening date of The Lion and the Jewel, by Wole Soyinka, at the Royal Court Theatre will now be Monday, December 12, instead of December 8 as previously announced.",© Times Newspapers Limited.
Modern African Writers (1972-02-11),apdp.cite.000145,Modern African Writers,Advertisement,Newspaper,1972-02-11,The Times Literary Supplement,p. 151,"http://link.galegroup.com/apps/doc/EX1200378907/GDCS?u=
linc74325&sid=GDCS&xid=01137e3f",GALE|EX1200378907,2019-06-29,"""The Times Literary Supplement Historical Archive,""","Modern African Writers: General editor, Gerald Moore. An important new series presenting critical studies of the works of Africa's leading novelists, poets, and dramatists. Wole Soyinka: Gerlad Moore. An account of the work of this remarkable Nigerian writer, best known as a major dramatist but also widely praised as a poet, novelist, and commentator.",
Nigerian play for Court Theatre (1966-11-28),apdp.cite.000146,Nigerian play for Court Theatre,Event Announcement,Newspaper,1966-11-28,The Times,p. 6,"http://link.galegroup.
com/apps/doc/CS101935996/GDCS?u=linc74325&sid=GDCS&xid=1e772627",GALE|CS101935996,2019-06-29,The Times Digital Archive,"Wole Soyinka, a young Nigerian writer who was educated at Leeds University and was a member of the Royal Court Theatre group of writers, is to have his comedy The Lion and the Jewel produced at the Royal Court Theatre on December 8. It will be his second play for the Court, the other was The Invention, which Mr. Soyinka directed in 1959. He has since returned to Nigeria, where he runs two theatre companies. The Lion and the Jewel is a comedy with music and dancing directed by Desmond O'Donovan and designed by Jocelyn Herbert. This will be Jocelyn Herbert's first week for the stage since A Patriot For Me in 1965. The production will be in conjunction with the Tjinle Players, a group of African actors living in London and is particularly appropriate it is said for the Christmas holidays for older children as well as adults. Heading the cast of 21 are Hannah Bright-Taylor as Sidi, the Jewel of Ilujinle, Jomoke Debayo as Sadiku the chief wife, Willie Payne as the Bale of Ilujinle and Femi Euba as Lakunle the schoolteacher.",© Times Newspapers Limited.
Progress in Nigeria since civil war (1972-10-07),apdp.cite.000147,Progress in Nigeria since civil war,News Report,Newspaper,1972-10-07,The Times,p. 6,"http://link.
galegroup.com/apps/doc/CS102070087/GDCS?u=linc74325&sid=GDCS&xid=4cb4f892",GALE|CS102070087,2019-06-29,The Times Digital Archive,"A 10-page Special Report on Nigeria will appear in The Times on Monday. Less than three years since the Biafran secession move collapsed the Nigerian civil war has been largely forgotten. Wole Soyinka, Africa's leading playwright, for whom it remains a vivid memory and who was imprisoned for nearly two years in solitary confinement, talks in the report revealingly about his country and his own future. Peter Hopkirk reports on the mood today among former Biafrans, and Cyprian Ekwensi, the novelist, writes on Africa's ""rediscovery"" of its cultural heritage.",© Times Newspapers Limited.
Sheer ingenuity of Soyinka's plot (1966-12-13),apdp.cite.000148,Sheer ingenuity of Soyinka's plot,Play Review,Newspaper,1966-12-13,The Times,p. 6,"http://link.galegroup.com/apps/doc/CS100887437/GDCS?u=linc74325&sid=
GDCS&xid=50334843",GALE|CS100887437,2019-06-29,The Times Digital Archive,"Royal Court Theatre: The Lion and the Jewel by Wole Soyinka. This is the third play by Wole Soyinka to appear in London since last year, and this work alone is enough to establish Nigeria as the most fertile new source of English-speaking drama since Synge's discovery of the Western Isles. Even this comparison does Soyinka less than justice, for he is dealing not only with a rich folk material, but with the impact of the modern world on tribal custom: to find any parallel for his work in English drama you have to go back to the Elizabethans...It is tempting to linger over the sheer ingenuity of Soyinka's plot. But what comes over even more strongly in Desmond O'Donovan's production is his originality of scene construction (a sparring match in proverbs, reflected in a simultaneous wrestling bout), and the richly expressive range of speech idioms...",© Times Newspapers Limited.
Letters to the editor: Nigerian author (1967-08-29),apdp.cite.000149,Letters to the editor: Nigerian author,Editorial Letter,Newspaper,1967-08-29,The Times,p. 7,"http://link.
galegroup.com/apps/doc/CS118058269/GDCS?u=linc74325&sid=GDCS&xid=6c4a3bb6",GALE|CS118058269,2019-06-29,"""The Times Literary Supplement Historical Archive,""","From Mr. Ronald Bryden and others... Sir,-- It has been reported that Wole Soyinka, Nigeria's leading poet and playwright, has been imprisoned for signing a letter to a Nigerian newspaper proposing a truce in the present hostilities. We, the undersigned, are deeply concerned over Mr. Soyinka's predicament. To imprison him merely for suggesting a way out of the present unhappy situation can only do harm to Nigeria both at home and abroad. We therefore appeal to those with the power to do so to release him. Yours faithfully, Ronald Bryden, Andre Deutsch, Dennis Duerden, William Gaskill, Dan Jacobson, Joan Littlewood, Roland Penrose, Kenneth Tynan",© Times Newspapers Limited.
Mr.  Wole Soyinka Acquitted (1965-12-21),apdp.cite.000150,Mr.  Wole Soyinka Acquitted,News Report,Newspaper,1965-12-21,The Times,p. 8,"http://link.galegroup.com/apps/doc/CS135883157/GDCS?u=linc74325&sid=
GDCS&xid=0192c564",GALE|CS135883157,2019-06-29,The Times Digital Archive,"Mr. Wole Soyinka, the Nigerian playwright and university lecturer, who has been standing trial at Ibadan on a charge of robbery with violence, was acquitted today. Mr. Justice Kayode Eso said there was a material conflict in the evidence of the prosecution witnesses. He was, however, convinced that the incident complained of in the charge really took place. Last October a gunman entered a Radio Nigeria studio in Ibadan, capital of western Nigeria, and attempted to replace the tape of a message from Chief Akintola, the Prime Minister, with his own. Mr. Soyinka said he was not in Ibadan at the time.",© Times Newspapers Limited.
